#node_type,node_name,id,central_object,altitude,inclination,eccentricity,right_ascension_of_the_ascending_node,argument_of_perigee,mean_anomaly,rules
#Earth constellation
Orbiter,c1o1,1001,Earth,500.0,45.0,0.0,0.0,0.0,0.0,
Orbiter,c1o2,1002,Earth,500.0,45.0,0.0,0.0,0.0,45.0,
Orbiter,c1o3,1003,Earth,500.0,45.0,0.0,0.0,0.0,90.0,
Orbiter,c1o4,1004,Earth,500.0,45.0,0.0,0.0,0.0,135.0,
Orbiter,c1o5,1005,Earth,500.0,45.0,0.0,0.0,0.0,180.0,
Orbiter,c1o6,1006,Earth,500.0,45.0,0.0,0.0,0.0,225.0,
Orbiter,c1o7,1007,Earth,500.0,45.0,0.0,0.0,0.0,270.0,
Orbiter,c1o8,1008,Earth,500.0,45.0,0.0,0.0,0.0,315.0,
Orbiter,c1o9,1009,Earth,500.0,45.0,0.0,60.0,0.0,0.0,
Orbiter,c1o10,1010,Earth,500.0,45.0,0.0,60.0,0.0,45.0,
Orbiter,c1o11,1011,Earth,500.0,45.0,0.0,60.0,0.0,90.0,
Orbiter,c1o12,1012,Earth,500.0,45.0,0.0,60.0,0.0,135.0,
Orbiter,c1o13,1013,Earth,500.0,45.0,0.0,60.0,0.0,180.0,
Orbiter,c1o14,1014,Earth,500.0,45.0,0.0,60.0,0.0,225.0,
Orbiter,c1o15,1015,Earth,500.0,45.0,0.0,60.0,0.0,270.0,
Orbiter,c1o16,1016,Earth,500.0,45.0,0.0,60.0,0.0,315.0,
Orbiter,c1o17,1017,Earth,500.0,45.0,0.0,120.0,0.0,0.0,
Orbiter,c1o18,1018,Earth,500.0,45.0,0.0,120.0,0.0,45.0,
Orbiter,c1o19,1019,Earth,500.0,45.0,0.0,120.0,0.0,90.0,
Orbiter,c1o20,1020,Earth,500.0,45.0,0.0,120.0,0.0,135.0,
Orbiter,c1o21,1021,Earth,500.0,45.0,0.0,120.0,0.0,180.0,
Orbiter,c1o22,1022,Earth,500.0,45.0,0.0,120.0,0.0,225.0,
Orbiter,c1o23,1023,Earth,500.0,45.0,0.0,120.0,0.0,270.0,
Orbiter,c1o24,1024,Earth,500.0,45.0,0.0,120.0,0.0,315.0,
Orbiter,c1o25,1025,Earth,500.0,45.0,0.0,180.0,0.0,0.0,
Orbiter,c1o26,1026,Earth,500.0,45.0,0.0,180.0,0.0,45.0,
Orbiter,c1o27,1027,Earth,500.0,45.0,0.0,180.0,0.0,90.0,
Orbiter,c1o28,1028,Earth,500.0,45.0,0.0,180.0,0.0,135.0,
Orbiter,c1o29,1029,Earth,500.0,45.0,0.0,180.0,0.0,180.0,
Orbiter,c1o30,1030,Earth,500.0,45.0,0.0,180.0,0.0,225.0,
Orbiter,c1o31,1031,Earth,500.0,45.0,0.0,180.0,0.0,270.0,
Orbiter,c1o32,1032,Earth,500.0,45.0,0.0,180.0,0.0,315.0,
Orbiter,c1o33,1033,Earth,500.0,45.0,0.0,240.0,0.0,0.0,
Orbiter,c1o34,1034,Earth,500.0,45.0,0.0,240.0,0.0,45.0,
Orbiter,c1o35,1035,Earth,500.0,45.0,0.0,240.0,0.0,90.0,
Orbiter,c1o36,1036,Earth,500.0,45.0,0.0,240.0,0.0,135.0,
Orbiter,c1o37,1037,Earth,500.0,45.0,0.0,240.0,0.0,180.0,
Orbiter,c1o38,1038,Earth,500.0,45.0,0.0,240.0,0.0,225.0,
Orbiter,c1o39,1039,Earth,500.0,45.0,0.0,240.0,0.0,270.0,
Orbiter,c1o40,1040,Earth,500.0,45.0,0.0,240.0,0.0,315.0,
Orbiter,c1o41,1041,Earth,500.0,45.0,0.0,300.0,0.0,0.0,
Orbiter,c1o42,1042,Earth,500.0,45.0,0.0,300.0,0.0,45.0,
Orbiter,c1o43,1043,Earth,500.0,45.0,0.0,300.0,0.0,90.0,
Orbiter,c1o44,1044,Earth,500.0,45.0,0.0,300.0,0.0,135.0,
Orbiter,c1o45,1045,Earth,500.0,45.0,0.0,300.0,0.0,180.0,
Orbiter,c1o46,1046,Earth,500.0,45.0,0.0,300.0,0.0,225.0,
Orbiter,c1o47,1047,Earth,500.0,45.0,0.0,300.0,0.0,270.0,
Orbiter,c1o48,1048,Earth,500.0,45.0,0.0,300.0,0.0,315.0,
