#node_type,node_name,id,central_object,altitude,inclination,eccentricity,right_ascension_of_the_ascending_node,argument_of_perigee,mean_anomaly,rules
#Earth constellation
Orbiter,c1o1,1001,Earth,5000.0,0,0,0,0,0.0,
#Mars constellation
Orbiter,c2o1,2001,Mars,500,90,0,0.0,0,0.0,
Orbiter,c2o2,2002,Mars,500,90,0,0.0,0,90.0,
Orbiter,c2o3,2003,Mars,500,90,0,0.0,0,180.0,
Orbiter,c2o4,2004,Mars,500,90,0,0.0,0,270.0,
Orbiter,c2o5,2005,Mars,500,90,0,45.0,0,0.0,
Orbiter,c2o6,2006,Mars,500,90,0,45.0,0,90.0,
Orbiter,c2o7,2007,Mars,500,90,0,45.0,0,180.0,
Orbiter,c2o8,2008,Mars,500,90,0,45.0,0,270.0,
Orbiter,c2o9,2009,Mars,500,90,0,90.0,0,0.0,
Orbiter,c2o10,2010,Mars,500,90,0,90.0,0,90.0,
Orbiter,c2o11,2011,Mars,500,90,0,90.0,0,180.0,
Orbiter,c2o12,2012,Mars,500,90,0,90.0,0,270.0,
Orbiter,c2o13,2013,Mars,500,90,0,135.0,0,0.0,
Orbiter,c2o14,2014,Mars,500,90,0,135.0,0,90.0,
Orbiter,c2o15,2015,Mars,500,90,0,135.0,0,180.0,
Orbiter,c2o16,2016,Mars,500,90,0,135.0,0,270.0,
#node_type,node_name,id,central_object,latitude,longitude,altitude,rules
#Earth ground stations
Lander,gs1,9001,Earth,35.426667,-116.89,100,
Lander,gs2,9002,Earth,40.431389,-4.248056,100,
Lander,gs3,9003,Earth,-35.401389,148.981667,100,
