#node_type,node_name,id,central_object,altitude,inclination,eccentricity,right_ascension_of_the_ascending_node,argument_of_perigee,mean_anomaly,rules
#Earth constellation
Orbiter,c1o1,1001,Earth,500.0,45.0,0.0,0.0,0.0,0.0,
Orbiter,c1o2,1002,Earth,500.0,45.0,0.0,0.0,0.0,90.0,
Orbiter,c1o3,1003,Earth,500.0,45.0,0.0,0.0,0.0,180.0,
Orbiter,c1o4,1004,Earth,500.0,45.0,0.0,0.0,0.0,270.0,
Orbiter,c1o5,1005,Earth,500.0,45.0,0.0,180.0,0.0,0.0,
Orbiter,c1o6,1006,Earth,500.0,45.0,0.0,180.0,0.0,90.0,
Orbiter,c1o7,1007,Earth,500.0,45.0,0.0,180.0,0.0,180.0,
Orbiter,c1o8,1008,Earth,500.0,45.0,0.0,180.0,0.0,270.0,
#Mars low orbit constellation
Orbiter,c2o1,2001,Mars,500.0,45.0,0.0,0.0,0.0,0.0,localPlanetOnly
Orbiter,c2o2,2002,Mars,500.0,45.0,0.0,0.0,0.0,22.5,localPlanetOnly
Orbiter,c2o3,2003,Mars,500.0,45.0,0.0,0.0,0.0,45.0,localPlanetOnly
Orbiter,c2o4,2004,Mars,500.0,45.0,0.0,0.0,0.0,67.5,localPlanetOnly
Orbiter,c2o5,2005,Mars,500.0,45.0,0.0,0.0,0.0,90.0,localPlanetOnly
Orbiter,c2o6,2006,Mars,500.0,45.0,0.0,0.0,0.0,112.5,localPlanetOnly
Orbiter,c2o7,2007,Mars,500.0,45.0,0.0,0.0,0.0,135.0,localPlanetOnly
Orbiter,c2o8,2008,Mars,500.0,45.0,0.0,0.0,0.0,157.5,localPlanetOnly
Orbiter,c2o9,2009,Mars,500.0,45.0,0.0,0.0,0.0,180.0,localPlanetOnly
Orbiter,c2o10,2010,Mars,500.0,45.0,0.0,0.0,0.0,202.5,localPlanetOnly
Orbiter,c2o11,2011,Mars,500.0,45.0,0.0,0.0,0.0,225.0,localPlanetOnly
Orbiter,c2o12,2012,Mars,500.0,45.0,0.0,0.0,0.0,247.5,localPlanetOnly
Orbiter,c2o13,2013,Mars,500.0,45.0,0.0,0.0,0.0,270.0,localPlanetOnly
Orbiter,c2o14,2014,Mars,500.0,45.0,0.0,0.0,0.0,292.5,localPlanetOnly
Orbiter,c2o15,2015,Mars,500.0,45.0,0.0,0.0,0.0,315.0,localPlanetOnly
Orbiter,c2o16,2016,Mars,500.0,45.0,0.0,0.0,0.0,337.5,localPlanetOnly
Orbiter,c2o17,2017,Mars,500.0,45.0,0.0,30.0,0.0,0.0,localPlanetOnly
Orbiter,c2o18,2018,Mars,500.0,45.0,0.0,30.0,0.0,22.5,localPlanetOnly
